Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
845,845,0,6343,55465
846,846,0,6464,55465
847,847,0,6584,15522
848,848,0,6710,15522
849,849,0,6833,15522
850,850,0,6952,15522
851,851,0,7072,15522
852,852,0,7198,5451
853,853,0,7321,5451
854,854,0,7441,5451
855,855,0,7560,5451
856,856,0,7682,5451
857,857,0,7809,20973
858,858,0,7931,20973
859,859,0,8054,20973
860,860,0,8106,20973
861,861,0,41,20973
862,862,0,163,26424
863,863,0,281,26424
864,864,0,408,26424
865,865,0,8784,26424
866,866,0,651,26424
867,867,0,837,47397
868,868,0,9151,47397
869,869,0,9272,47397
870,870,0,1202,47397
871,871,0,9516,47397
872,872,0,1442,8285
873,873,0,1569,8285
874,874,0,1688,8285
875,875,0,10004,8285
876,876,0,10127,8285
877,877,0,10249,55682
878,878,0,10371,55682
879,879,0,10494,55682
880,880,0,2422,55682
881,881,0,10736,55682
882,882,0,10795,63967
883,883,0,2721,63967
884,884,0,2840,63967
885,885,0,11224,63967
886,886,0,3090,63967
887,887,0,11468,54113
888,888,0,3331,54113
889,889,0,3457,54113
890,890,0,11832,54113
891,891,0,11956,54113
892,892,0,12078,52544
893,893,0,12201,52544
894,894,0,0,52544
895,895,0,50,52544
896,896,0,241,52544
897,897,0,360,41121
898,898,0,484,41121
899,899,0,608,41121
900,900,0,665,41121
901,901,0,784,41121
902,902,0,972,28129
903,903,0,1096,28129
904,904,0,1219,28129
905,905,0,1336,28129
906,906,0,1458,28129
907,907,0,1584,3714
908,908,0,1707,3714
909,909,0,1828,3714
910,910,0,1950,3714
911,911,0,2072,3714
912,912,0,2195,31843
913,913,0,2316,31843
914,914,0,2440,31843
915,915,0,2561,31843
916,916,0,2683,31843
917,917,0,2804,35557
918,918,0,2856,35557
919,919,0,2986,35557
920,920,0,3171,35557
921,921,0,3292,35557
922,922,0,3413,1864
923,923,0,3538,1864
924,924,0,3661,1864
925,925,0,3713,1864
926,926,0,3896,1864
927,927,0,4026,37421
928,928,0,4148,37421
929,929,0,4271,37421
930,930,0,4392,37421
931,931,0,4514,37421
932,932,0,4636,39285
933,933,0,4759,39285
934,934,0,4882,39285
935,935,0,5002,39285
936,936,0,5121,39285
937,937,0,5247,11170
938,938,0,5368,11170
939,939,0,5492,11170
940,940,0,5545,11170
941,941,0,5732,11170
942,942,0,5856,50455
943,943,0,5912,50455
944,944,0,6035,50455
945,945,0,6220,50455
946,946,0,6346,50455
947,947,0,6468,61625
948,948,0,6586,61625
949,949,0,6712,61625
950,950,0,6834,61625
951,951,0,6956,61625
952,952,0,7074,46544
953,953,0,7201,46544
954,954,0,7320,46544
955,955,0,7444,46544
956,956,0,7563,46544
957,957,0,7689,42633
958,958,0,7808,42633
959,959,0,7866,42633
960,960,0,8055,42633
961,961,0,8113,42633
962,962,0,104,23641
963,963,0,162,23641
964,964,0,353,23641
965,965,0,409,23641
966,966,0,528,23641
967,967,0,714,738
968,968,0,9032,738
969,969,0,9153,738
970,970,0,1080,738
971,971,0,9398,738
972,972,0,9520,24379
973,973,0,9643,24379
974,974,0,9764,24379
975,975,0,1690,24379
976,976,0,10009,24379
977,977,0,10131,25117
978,978,0,10254,25117
979,979,0,10376,25117
980,980,0,2305,25117
981,981,0,10619,25117
982,982,0,2481,49496
983,983,0,2592,49496
984,984,0,2731,49496
985,985,0,11107,49496
986,986,0,11228,49496
987,987,0,11352,9077
988,988,0,3218,9077
989,989,0,11596,9077
990,990,0,3458,9077
991,991,0,11841,9077
992,992,0,11963,58573
993,993,0,12084,58573
994,994,0,12208,58573
995,995,0,0,58573
996,996,0,57,58573
997,997,0,179,2114
998,998,0,296,2114
999,999,0,488,2114
1000,1000,0,609,2114
1001,1001,0,731,2114
1002,1002,0,852,60687
1003,1003,0,976,60687
1004,1004,0,1099,60687
1005,1005,0,1152,60687
1006,1006,0,1342,60687
1007,1007,0,1464,62801
1008,1008,0,1587,62801
1009,1009,0,1708,62801
1010,1010,0,1830,62801
1011,1011,0,1953,62801
1012,1012,0,2075,57952
1013,1013,0,2196,57952
1014,1014,0,2320,57952
1015,1015,0,2441,57952
1016,1016,0,2563,57952
1017,1017,0,2684,55217
1018,1018,0,2808,55217
1019,1019,0,2931,55217
1020,1020,0,2984,55217
1021,1021,0,3174,55217
1022,1022,0,3296,47633
1023,1023,1,3419,47633
