Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
227,227,0,126945,44429
228,228,0,128490,64661
229,229,0,130075,64661
230,230,0,133186,64661
231,231,0,134784,64661
232,232,0,136353,64661
233,233,0,138896,43554
234,234,0,138048,43554
235,235,0,140069,43554
236,236,0,142632,43554
237,237,0,144275,43554
238,238,0,145289,42679
239,239,0,147674,42679
240,240,0,148538,42679
241,241,0,151597,42679
242,242,0,104912,42679
243,243,0,106115,20697
244,244,0,107603,20697
245,245,0,110146,20697
246,246,0,112325,20697
247,247,0,113350,20697
248,248,0,116132,63376
249,249,0,117587,63376
250,250,0,119257,63376
251,251,0,121753,63376
252,252,0,123483,63376
253,253,0,125042,18537
254,254,0,127537,18537
255,255,0,129243,18537
256,256,0,133295,18537
257,257,0,135020,18537
258,258,0,136578,16377
259,259,0,138034,16377
260,260,0,141301,16377
261,261,0,142714,16377
262,262,0,144558,16377
263,263,0,147026,34914
264,264,0,148530,34914
265,265,0,152731,34914
266,266,0,0,34914
267,267,0,1466,34914
268,268,0,3301,51291
269,269,0,4694,51291
270,270,0,6293,51291
271,271,0,7932,51291
272,272,0,9530,51291
273,273,0,12048,20669
274,274,0,13556,20669
275,275,0,15326,20669
276,276,0,17838,20669
277,277,0,19526,20669
278,278,0,20985,6424
279,279,0,23750,6424
280,280,0,25278,6424
281,281,0,27413,6424
282,282,0,29989,6424
283,283,0,31572,27093
284,284,0,33242,27093
285,285,0,37479,27093
286,286,0,38900,27093
287,287,0,40720,27093
288,288,0,43325,33517
289,289,0,44745,33517
290,290,0,46456,33517
291,291,0,49482,33517
292,292,0,51167,33517
293,293,0,52715,60610
294,294,0,54214,60610
295,295,0,56431,60610
296,296,0,58054,60610
297,297,0,60831,60610
298,298,0,61343,28591
299,299,0,63829,28591
300,300,0,66636,28591
301,301,0,67984,28591
302,302,0,69747,28591
303,303,0,71728,23665
304,304,0,73863,23665
305,305,0,75579,23665
306,306,0,73992,23665
307,307,0,76557,23665
308,308,0,77664,52256
309,309,0,80343,52256
310,310,0,82027,52256
311,311,0,84069,52256
312,312,0,81666,52256
313,313,0,79105,10385
314,314,0,80739,10385
315,315,0,82911,10385
316,316,0,85421,10385
317,317,0,86993,10385
318,318,0,88491,62641
319,319,0,107511,62641
